SMILES,IC50,Unit,Unit_Source,IC50-min,IC50-max
CC1=CC=C(C=C1)S(=O)(=O)N2C3=CC=CC=C3C(=C2CC4=CNC5=C4C=CC=C5Cl)C,2300,nM,original,2300.0,2300.0
CC1=CC=C(C=C1)S(=O)(=O)N2C3=CC=CC=C3C(=C2CC4=CN(C5=CC=CC=C54)C)C,1500,nM,original,1500.0,1500.0
CC1=CC=C(C=C1)S(=O)(=O)N2C3=CC=CC=C3C(=C2CC4=CN(C5=CC=CC=C54)C)C(C)C,1100,nM,original,1100.0,1100.0
CC1=CC=C(C=C1)S(=O)(=O)N2C3=CC=CC=C3C(=C2CC4=CN(C5=CC=CC=C54)C)C6=CC=CC=C6,2300,nM,original,2300.0,2300.0
C1=CC2=C(C(=C1)Cl)NC=C2CC3=CC4=C(N3)C=CC(=C4)F,250,nM,original,250.0,250.0
C1=CC=C2C(=C1)C=C(N2)CC3=CNC4=C3C=CC=C4Cl,2800,nM,original,2800.0,2800.0
C1=CC=C2C(=C1)C=C(N2)CC3=CNC4=C3C=CC=C4F,300,nM,original,300.0,300.0
CC1=C2C(=CC=C1)C(=CN2)CC3=CC4=CC=CC=C4N3,900,nM,original,900.0,900.0
CC[C@H](C)[C@@H](C(=O)NCC(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(C)C)C(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CS)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC2=CNC=N2)NC(=O)[C@H](CO)NC(=O)[C@H](CS)NC(=O)CNC(=O)CNC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@H](CC5=CC=C(C=C5)O)NC(=O)[C@@H]6CCCN6C(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC7=CNC8=CC=CC=C87)NC(=O)[C@@H]9CCCN9C(=O)[C@H](CC1=CC=C(C=C1)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CS)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H]([C@@H](C)O)NC(=O)CN,600,nM,original,600.0,600.0
CC[C@H](C)[C@@H](C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)NC(=O)[C@H](CCCCN=C(N)N)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC1=CNC2=CC=CC=C21)NC(=O)C3(CCC(CC3)C4=CC=CC=C4)N,700,nM,original,700.0,700.0
CC[C@H](C)[C@@H](C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC2=CNC3=CC=CC=C32)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CS)NC(=O)CNC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](C(C)C)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC7=CC=C(C=C7)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC8=CNC9=CC=CC=C98)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](C(C)C)NC(=O)[C@H]([C@@H](C)O)N,20,nM,original,20.0,20.0
