SMILES,EC50,EC50-min,EC50-max
C1=CC=C(C=C1)C(=O)C2=CN=C3C(=C2C4=CC(=CC=C4)OCC5=CC=C(C=C5)C(=O)O)C=CC=C3C(F)(F)F,186,186.0,186.0
COC(=O)C1=CC=C(C=C1)COC2=CC=CC(=C2)C3=C4C=CC=C(C4=NC=C3C(=O)C5=CC=CC=C5)C(F)(F)F,296,296.0,296.0
C1=CC=C(C=C1)C(=O)C2=CN=C3C(=C2C4=CC(=CC=C4)OCC5=CC(=CC=C5)C(=O)O)C=CC=C3C(F)(F)F,1500,1500.0,1500.0
C1=CC=C(C=C1)C(=O)C2=CN=C3C(=C2C4=CC=C(C=C4)OCC5=CC=C(C=C5)C(=O)O)C=CC=C3C(F)(F)F,1500,1500.0,1500.0
CN(CC1=CC=C(C=C1)CC(=O)O)C2=CC=CC(=C2)C3=C4C=CC=C(C4=NC=C3CC5=CC=CC=C5)C(F)(F)F,374,374.0,374.0
C1=CC=C(C=C1)C(=O)C2=CN=C3C(=C2C4=CC(=CC=C4)OCC5=CC=C(C=C5)CC(=O)O)C=CC=C3C(F)(F)F,143,143.0,143.0
C1=CC=C(C=C1)C2=C3C=CC=C(C3=NC=C2C(=O)C4=CC=CC=C4)C(F)(F)F,1400,1400.0,1400.0
C[C@H]([C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC4=CC=C(C=C4)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC5=CNC6=CC=CC=C65)C(=O)N[C@@H](C(C)C)C(=O)N)NC(=O)C)O,6000,6000.0,6000.0
CC(C)C[C@H]1C(=O)N[C@@H](CC(=O)NCCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CC2=CC=C(C=C2)O)CCC(=O)O)NC(=O)[C@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@H](CO)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC5=CC=CC=C5)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC6=CN=CN6)NC(=O)C)C(=O)N[C@@H](CC7=CNC8=CC=CC=C87)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N,175,175.0,175.0
CC(C)C[C@@H](C(=O)N[C@@H](CCSC)C(=O)N)NC(=O)CNC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CCCCN)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCN=C(N)N)N,680,680.0,680.0
C[C@H]([C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)N[C@H]4CCCCNC(=O)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC4=O)CCC(=O)O)CC5=CC=C(C=C5)O)CC(C)C)C(=O)N[C@@H](CC6=CNC7=CC=CC=C76)C(=O)N[C@@H](C(C)C)C(=O)N)NC(=O)C)O,>5000,5000.0,10000.0
